风场,10m风速,轮毂风速,k,c,切变α,10m风功率密度,资源等级,轮毂风功率密度,容量因子,P50(MWh),P75(MWh),P90(MWh)
Zone 1,3.63,6.328,2.54,7.123,0.25,53.0,1 级（资源较差）,242.0,0.209,91580.0,84091.0,77350.0
Zone 2,3.9,6.38,2.476,7.182,0.222,67.0,1 级（资源较差）,254.0,0.216,94767.0,87017.0,80042.0
Zone 3,3.94,6.656,2.618,7.476,0.236,66.0,1 级（资源较差）,274.0,0.237,103742.0,95258.0,87622.0
Zone 4,4.21,6.732,2.505,7.579,0.21,82.0,1 级（资源较差）,295.0,0.249,109279.0,100342.0,92298.0
Zone 5,4.21,6.732,2.505,7.579,0.21,82.0,1 级（资源较差）,295.0,0.249,109279.0,100342.0,92298.0
Zone 6,4.27,6.762,2.44,7.62,0.205,85.0,1 级（资源较差）,305.0,0.255,111742.0,102604.0,94378.0
Zone 7,4.13,6.936,2.486,7.81,0.233,78.0,1 级（资源较差）,323.0,0.27,118415.0,108731.0,100015.0
Zone 8,4.13,6.936,2.486,7.81,0.233,78.0,1 级（资源较差）,323.0,0.27,118415.0,108731.0,100015.0
Zone 9,3.72,6.466,2.49,7.282,0.248,57.0,1 级（资源较差）,261.0,0.224,98240.0,90206.0,82975.0
Zone 10,3.82,6.176,2.478,6.954,0.211,61.0,1 级（资源较差）,229.0,0.197,86440.0,79371.0,73008.0
